Format Version,1.21,Take Name,PO2_high_empty_1_ 2017-08-14 04.10.40 PM _,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-14 04.10.40 PM,Total Frames in Take,1028,Total Exported Frames,1028,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.005348,0.325847,-0.123020,-0.937369,-175.122910,82.293266,1525.683594,0.462664,-194.901016,45.858131,1548.551270,0.867340,-192.944626,105.544746,1512.923828,0.948604,-137.523178,95.476913,1515.575806,0.837059,-195.358307,45.689583,1548.679077,-192.640106,105.261307,1513.074097,-137.394485,95.972763,1515.272949,-365.657257,741.338257,2348.563721,-372.505920,619.526794,2396.829102,-111.841606,-440.531250,1764.151611,46.745369,-443.227966,1759.566406,6.218386,-333.659729,1772.659668,-30.659765,-414.148743,1729.034424,-64.976418,-375.519714,1842.449097,259.060730,-292.732422,1622.584351,133.389404,-370.156708,1681.346680,199.996750,-25.473160,1841.679688,327.478760,63.625648,1624.935669,212.295746,40.711109,1811.688721,309.617432,-89.124268,1587.835083,,,
7,0.058333,-0.005150,0.325615,-0.122975,-0.937457,-175.123230,82.291100,1525.668823,0.449950,-194.899673,45.869747,1548.559937,0.867284,-192.945175,105.541634,1512.907593,0.957130,-137.524902,95.461899,1515.539063,0.838123,-195.362289,45.688389,1548.696045,-192.656799,105.271347,1513.051025,-137.375534,95.958237,1515.234375,-365.637695,741.351807,2348.673584,-372.558655,619.606384,2397.102539,-111.825951,-440.553253,1764.215942,46.739338,-443.211243,1759.567139,6.217441,-333.642120,1772.636597,-30.659119,-414.119751,1728.906006,-64.991028,-375.491730,1842.390625,259.057953,-292.714966,1622.584717,133.390488,-370.168762,1681.378662,200.000122,-25.456457,1841.721313,327.477417,63.632778,1624.959717,212.302963,40.726349,1811.833740,309.595306,-89.101616,1587.765625,,,
8,0.066667,-0.004170,0.326555,-0.123655,-0.937045,-175.121643,82.275085,1525.630005,0.431518,-194.923737,45.886127,1548.550415,0.877687,-192.931351,105.486458,1512.780762,0.958537,-137.509933,95.452652,1515.558960,0.840138,-195.356201,45.682262,1548.697388,-192.636932,105.256233,1512.901245,-137.394043,95.928314,1515.267456,-365.614746,741.314636,2348.569580,-372.559570,619.601074,2397.135254,-111.823456,-440.541931,1764.180542,46.746979,-443.203613,1759.596436,6.214009,-333.631775,1772.617188,-30.668318,-414.116577,1728.932861,-64.976578,-375.529633,1842.487305,259.053131,-292.707245,1622.557373,133.381042,-370.148621,1681.377319,199.996353,-25.463144,1841.742310,327.475586,63.641899,1625.022705,212.292557,40.722313,1811.741699,309.594421,-89.105812,1587.749756,,,
9,0.075000,-0.004916,0.326059,-0.123267,-0.937266,-175.121185,82.294579,1525.659912,0.452931,-194.904984,45.876389,1548.549683,0.871970,-192.940308,105.530693,1512.868530,0.952050,-137.518341,95.476631,1515.561523,0.836282,-195.354691,45.693745,1548.685425,-192.633499,105.264114,1513.009277,-137.398758,95.970566,1515.260132,-365.633301,741.352417,2348.691162,-372.518738,619.546692,2396.911865,-111.852707,-440.558960,1764.240845,46.794983,-443.196655,1759.572876,6.206853,-333.619904,1772.640625,-30.671148,-414.094025,1728.903198,-64.978233,-375.548187,1842.467651,259.056122,-292.706573,1622.608032,133.374008,-370.140320,1681.354980,199.990814,-25.464497,1841.756348,327.448761,63.642300,1624.986450,212.292740,40.706066,1811.729858,309.590088,-89.092682,1587.803833,,,
10,0.083333,-0.004187,0.326390,-0.123679,-0.937100,-175.120377,82.294571,1525.641846,0.440886,-194.912872,45.905285,1548.570068,0.872081,-192.935608,105.504829,1512.798218,0.960791,-137.512741,95.473595,1515.557251,0.836464,-195.364243,45.695602,1548.721802,-192.643539,105.266701,1512.923462,-137.377640,95.965706,1515.255005,-365.650574,741.364929,2348.754883,-372.504456,619.516296,2396.802979,-111.845062,-440.544403,1764.203613,46.734890,-443.150787,1759.507568,6.193233,-333.605988,1772.604736,-30.684589,-414.079010,1728.920898,-64.986588,-375.535858,1842.448364,259.033661,-292.688751,1622.531982,133.365906,-370.114807,1681.316895,199.990173,-25.476501,1841.797363,327.453796,63.649960,1625.037964,212.295456,40.723400,1811.776367,309.585327,-89.058159,1587.796143,,,
11,0.091667,-0.004193,0.326297,-0.123691,-0.937130,-175.124619,82.286987,1525.618408,0.441551,-194.911957,45.897839,1548.551270,0.869982,-192.942764,105.496651,1512.777832,0.960714,-137.519196,95.466454,1515.526245,0.838141,-195.361816,45.683189,1548.706177,-192.657669,105.267311,1512.898315,-137.379028,95.952141,1515.227539,-365.669525,741.353577,2348.602783,-372.520630,619.550293,2396.939941,-111.844994,-440.523560,1764.132813,46.742310,-443.165497,1759.578369,6.195235,-333.614502,1772.656250,-30.676647,-414.068207,1728.883789,-64.989059,-375.539948,1842.358643,259.036316,-292.676056,1622.541504,133.357162,-370.105377,1681.362915,199.988953,-25.468826,1841.832642,327.462311,63.661873,1625.104858,212.292847,40.718109,1811.806396,309.579437,-89.087654,1587.822388,,,
12,0.100000,-0.004392,0.326801,-0.123762,-0.936944,-175.118896,82.285728,1525.648438,0.420081,-194.918411,45.880100,1548.544678,0.879939,-192.931091,105.495773,1512.800171,0.962416,-137.507263,95.481308,1515.600708,0.842584,-195.350220,45.683746,1548.686768,-192.645081,105.261185,1512.923950,-137.382980,95.954300,1515.310791,-365.612427,741.280090,2348.372070,-372.566376,619.610474,2397.166260,-111.849037,-440.551819,1764.265381,46.738010,-443.151184,1759.586304,6.188657,-333.587372,1772.641479,-30.687634,-414.023560,1728.837280,-64.989296,-375.572144,1842.486206,259.034546,-292.673645,1622.569336,133.345398,-370.083923,1681.288818,199.991470,-25.452221,1841.877197,327.438171,63.669926,1625.058716,212.299469,40.729042,1811.896362,309.559753,-89.065804,1587.776489,,,
13,0.108333,-0.004683,0.326900,-0.123695,-0.936917,-175.118637,82.284454,1525.635498,0.427127,-194.918640,45.863422,1548.506714,0.878746,-192.930756,105.501144,1512.799194,0.957308,-137.506607,95.488792,1515.600708,0.843600,-195.348694,45.681244,1548.639893,-192.640503,105.253937,1512.929932,-137.387985,95.959084,1515.312988,-365.612610,741.325928,2348.594971,-372.499268,619.526794,2396.832520,-111.858795,-440.544342,1764.256470,46.776527,-443.130371,1759.523560,6.184108,-333.579376,1772.604248,-30.694168,-414.043335,1728.902466,-64.995972,-375.573914,1842.499756,259.025879,-292.668274,1622.568604,133.344498,-370.084412,1681.368408,199.986893,-25.450270,1841.882813,327.411560,63.665943,1624.981323,212.287354,40.731487,1811.822266,309.560425,-89.033958,1587.849731,,,
14,0.116667,-0.004113,0.326108,-0.123603,-0.937208,-175.122589,82.288368,1525.635498,0.447596,-194.909576,45.907005,1548.581055,0.868544,-192.940277,105.500404,1512.798462,0.959975,-137.517990,95.457687,1515.526978,0.835785,-195.364960,45.690140,1548.737793,-192.650406,105.267426,1512.920776,-137.377686,95.950653,1515.223755,-365.650940,741.389832,2348.824951,-372.524536,619.547546,2396.916504,-111.858192,-440.497223,1764.132446,46.730774,-443.132141,1759.521851,6.179200,-333.579376,1772.653442,-30.698763,-414.042694,1728.932983,-64.993584,-375.576324,1842.552734,259.010468,-292.656097,1622.549683,133.319702,-370.084717,1681.368164,199.975082,-25.449154,1841.870728,327.431580,63.676746,1625.092773,212.284897,40.734402,1811.839966,309.528412,-89.036385,1587.780518,,,
15,0.125000,-0.005058,0.326069,-0.123148,-0.937277,-175.119812,82.288307,1525.655396,0.438222,-194.907867,45.864822,1548.533081,0.871707,-192.936188,105.531219,1512.872559,0.958460,-137.515472,95.468872,1515.560791,0.841166,-195.357819,45.683186,1548.668091,-192.651291,105.271179,1513.010498,-137.373825,95.953400,1515.263672,-365.634094,741.314941,2348.572266,-372.511292,619.536865,2396.897461,-111.860390,-440.506683,1764.127686,46.726704,-443.144257,1759.555298,6.182146,-333.588776,1772.680420,-30.705740,-414.041962,1728.940430,-64.995628,-375.575409,1842.516357,259.004425,-292.648560,1622.575195,133.335007,-370.075470,1681.368530,199.966202,-25.440968,1841.821289,327.406708,63.675270,1625.040283,212.271027,40.746651,1811.881348,309.525055,-89.035858,1587.820313,,,
16,0.133333,-0.004028,0.326472,-0.123763,-0.937061,-175.115448,82.286476,1525.627930,0.446778,-194.910690,45.903591,1548.563965,0.871016,-192.929306,105.491356,1512.772705,0.958064,-137.506424,95.464478,1515.547363,0.835837,-195.359482,45.688873,1548.718628,-192.633255,105.259026,1512.894531,-137.378098,95.954529,1515.246338,-365.652252,741.374146,2348.683838,-372.508698,619.549683,2396.867188,-111.875160,-440.494843,1764.164551,46.724552,-443.129913,1759.544067,6.172847,-333.592316,1772.694946,-30.708200,-414.048035,1728.944824,-64.995598,-375.586365,1842.528687,259.001190,-292.647308,1622.609863,133.314941,-370.074982,1681.367920,199.954910,-25.449173,1841.886108,327.402039,63.693390,1625.051880,212.273102,40.746120,1811.821411,309.514618,-89.019707,1587.843750,,,
17,0.141667,-0.004111,0.326363,-0.123726,-0.937103,-175.120148,82.289291,1525.624146,0.436258,-194.910492,45.903435,1548.559692,0.871018,-192.936661,105.496567,1512.776978,0.961735,-137.513336,95.467865,1515.536011,0.840053,-195.356857,45.690994,1548.712891,-192.656265,105.269432,1512.896362,-137.371567,95.948174,1515.240234,-365.654419,741.341003,2348.642334,-372.555634,619.599854,2397.103027,-111.883583,-440.489960,1764.171631,46.716255,-443.132263,1759.541992,6.171989,-333.580933,1772.704102,-30.714125,-414.042908,1728.920654,-65.020264,-375.538452,1842.389404,258.993195,-292.637268,1622.616577,133.303452,-370.063416,1681.393066,199.951141,-25.426586,1841.840942,327.391815,63.698471,1625.025269,212.278412,40.753452,1811.979614,309.509094,-89.014214,1587.817139,,,
18,0.150000,-0.004672,0.326343,-0.123404,-0.937150,-175.121155,82.282906,1525.633911,0.434214,-194.915741,45.873165,1548.527832,0.875018,-192.934601,105.510727,1512.819702,0.959327,-137.513199,95.464821,1515.554443,0.839995,-195.359772,45.682793,1548.667603,-192.644073,105.260559,1512.951904,-137.382446,95.948830,1515.257935,-365.606781,741.321289,2348.585449,-372.566406,619.627014,2397.162354,-111.886459,-440.520844,1764.205444,46.715759,-443.146606,1759.550293,6.157249,-333.588562,1772.684937,-30.710270,-414.049042,1728.946777,-65.013245,-375.572540,1842.516602,258.985474,-292.631439,1622.630493,133.290314,-370.052185,1681.315186,199.943222,-25.436834,1841.848877,327.384766,63.717930,1625.021606,212.274857,40.753181,1812.029175,309.500488,-89.003738,1587.817871,,,
19,0.158333,-0.003800,0.327146,-0.124120,-0.936779,-175.116257,82.286430,1525.622437,0.440134,-194.924805,45.903282,1548.546509,0.874049,-192.924240,105.474579,1512.728882,0.956321,-137.499786,95.481422,1515.591919,0.839530,-195.358612,45.689999,1548.698853,-192.630310,105.253357,1512.845093,-137.382965,95.955498,1515.301392,-365.642914,741.352112,2348.710693,-372.507538,619.515564,2396.855469,-111.901192,-440.550812,1764.363525,46.714973,-443.145630,1759.575684,6.161112,-333.590851,1772.672974,-30.724403,-414.045258,1728.945313,-65.028114,-375.550873,1842.406982,258.975006,-292.623688,1622.638428,133.293961,-370.067993,1681.418213,199.955444,-25.441126,1841.863281,327.386780,63.713627,1625.054443,212.273605,40.749229,1812.004150,309.489044,-88.992516,1587.812500,,,
20,0.166667,-0.005084,0.325857,-0.123028,-0.937366,-175.119858,82.291756,1525.682739,0.443748,-194.905670,45.871105,1548.566772,0.869427,-192.936813,105.539688,1512.909790,0.958744,-137.517181,95.464455,1515.571533,0.839019,-195.363464,45.686337,1548.704346,-192.650345,105.276306,1513.049316,-137.370117,95.956871,1515.269409,-365.668427,741.380798,2348.830078,-372.510803,619.552368,2396.895996,-111.897308,-440.514008,1764.263428,46.709290,-443.126343,1759.527466,6.133260,-333.593384,1772.667847,-30.719566,-414.027527,1728.913940,-65.022995,-375.569519,1842.530273,258.973846,-292.618256,1622.622192,133.288620,-370.049622,1681.382935,199.946976,-25.446974,1841.872803,327.382751,63.711918,1625.087524,212.259262,40.745045,1811.900024,309.494659,-89.005661,1587.837280,,,
21,0.175000,-0.004443,0.326546,-0.123728,-0.937038,-175.127731,82.289879,1525.622559,0.423479,-194.916458,45.884071,1548.527832,0.876752,-192.945801,105.501526,1512.785400,0.963144,-137.520981,95.484039,1515.554688,0.842496,-195.356537,45.690769,1548.668823,-192.664841,105.260048,1512.913452,-137.384186,95.961273,1515.261475,-365.632690,741.349426,2348.649902,-372.535278,619.565613,2396.998047,-111.906143,-440.501892,1764.221924,46.708755,-443.130219,1759.568237,6.148612,-333.575592,1772.700439,-30.730822,-414.037689,1728.949707,-65.022240,-375.591705,1842.607666,258.962616,-292.613556,1622.604980,133.278824,-370.047699,1681.358276,199.944748,-25.434572,1841.919189,327.371674,63.724480,1625.073486,212.256882,40.747025,1811.956787,309.498566,-88.988930,1587.863281,,,
22,0.183333,-0.004131,0.326975,-0.123961,-0.936859,-175.121185,82.292084,1525.621460,0.426581,-194.922897,45.895260,1548.529785,0.878238,-192.932755,105.490761,1512.751831,0.959922,-137.507980,95.490211,1515.582764,0.841904,-195.353424,45.692997,1548.675293,-192.643860,105.262375,1512.872070,-137.388245,95.961617,1515.293945,-365.607849,741.286865,2348.362793,-372.507080,619.513123,2396.806641,-111.904243,-440.499969,1764.279785,46.703205,-443.083160,1759.513062,6.140629,-333.558411,1772.665527,-30.729668,-414.017456,1728.937988,-65.017609,-375.558411,1842.539185,258.963135,-292.599457,1622.560791,133.287048,-370.051941,1681.407471,199.943848,-25.449921,1841.927246,327.363556,63.720024,1625.089478,212.255463,40.763287,1812.004395,309.496033,-88.981987,1587.873413,,,
